Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,TimeSignature,Valence
1.7e-4,0.364,181133,0.988,FALSE,1.82e-6,0.355,-3.673,1,0.0862,90.344,4,0.571
0.00133,0.559,193000,0.543,TRUE,2e-5,0.0577,-5.429,1,0.302,75.958,4,0.337
2.46e-5,0.26,205320,0.979,FALSE,0.00217,0.278,-4.535,1,0.269,178.104,4,0.566
0.183,0.475,153467,0.432,TRUE,0,0.161,-7.844,1,0.0302,94.605,4,0.648
0.147,0.555,219800,0.758,FALSE,0.00328,0.0992,-5.944,1,0.0365,124.233,4,0.371
0.00605,0.427,303293,0.773,FALSE,4.02e-6,0.0396,-4.222,1,0.115,171.806,4,0.695
0.0282,0.336,139413,0.976,FALSE,2.55e-5,0.592,-4.06,1,0.113,94.925,4,0.777
1.6e-5,0.448,136600,0.965,FALSE,0.0332,0.11,-4.834,1,0.0547,95.179,4,0.96
0.975,0.709,84984,0.313,FALSE,7.7e-5,0.213,-11.589,1,0.175,92.194,4,0.7
6.97e-4,0.524,217267,0.952,FALSE,0.00106,0.322,-4.114,1,0.0376,143.997,4,0.753
2.46e-4,0.276,215600,0.898,FALSE,0.00152,0.336,-4.754,1,0.0767,181.188,4,0.785
7.18e-4,0.466,274707,0.899,FALSE,4.43e-4,0.439,-4.143,1,0.0574,143.947,4,0.422
8.46e-5,0.548,146493,0.945,FALSE,0.00237,0.172,-3.259,1,0.0472,134.057,4,0.764
0.00376,0.627,176987,0.971,TRUE,4.11e-5,0.246,-3.017,1,0.0376,101,4,0.605
0.0228,0.569,171453,0.785,FALSE,0,0.106,-4.166,1,0.0277,116.131,4,0.722
5.54e-4,0.475,211947,0.99,FALSE,5.97e-5,0.0985,-3.497,1,0.0709,171.023,4,0.837
0.00207,0.141,145907,0.966,FALSE,0,0.335,-4.102,0,0.103,179.954,4,0.646
0.00576,0.551,168227,0.965,TRUE,0,0.171,-2.772,1,0.0452,137.841,4,0.708
0.00138,0.624,232533,0.978,FALSE,0,0.23,-2.553,1,0.038,116.54,4,0.953
0.00596,0.692,165253,0.928,FALSE,6.93e-6,0.0896,-3.551,0,0.0502,140.991,4,0.953
3.24e-5,0.253,246000,0.945,TRUE,0.00192,0.0709,-4.254,1,0.314,172.044,4,0.386
0.0228,0.271,121987,0.994,FALSE,0,0.0959,-3.952,0,0.154,111.304,4,0.42
9.13e-5,0.271,152627,0.991,FALSE,0,0.321,-3.374,1,0.117,190.153,4,0.717
1.6e-4,0.414,98467,0.98,TRUE,4.09e-4,0.0583,-3.23,1,0.0885,157.124,4,0.916
2.36e-4,0.315,154427,0.906,FALSE,1.31e-5,0.17,-4.507,1,0.103,190.442,4,0.943
6.59e-4,0.29,493400,0.827,TRUE,2.55e-6,0.301,-3.451,1,0.0362,167.086,4,0.45
2.14e-4,0.143,185787,0.471,FALSE,0,0.174,-6.184,1,0.0331,187.428,3,0.277
0.0281,0.542,139747,0.896,TRUE,0,0.224,-4.599,0,0.185,104.334,4,0.855
